Cityname,Year,Month,disDay,disQuantity(ton),disCount
Hwaseong,2018,11,Wed,338.18119,161166
Hwaseong,2018,11,Thu,402.12449,193239
Hwaseong,2018,11,Fri,440.155,206689
Hwaseong,2018,11,Sat,364.7192,160265
Hwaseong,2018,12,Sun,564.11421,246885
Hwaseong,2018,12,Mon,440.22605,200590
Hwaseong,2018,12,Tues,336.51318,157775
Hwaseong,2018,12,Wed,305.23496,147519
Hwaseong,2018,12,Thu,282.92879,137997
Hwaseong,2018,12,Fri,272.74209,133314
Hwaseong,2018,12,Sat,390.20715,177355
Hwaseong,2019,01,Sun,419.42756,188960
Hwaseong,2019,01,Mon,338.72515,156742
Hwaseong,2019,01,Tues,383.742359,180934
Hwaseong,2019,01,Wed,371.84816,179653
Hwaseong,2019,01,Thu,368.81467,177891
Hwaseong,2019,01,Fri,276.35571,135448
Hwaseong,2019,01,Sat,283.01614,131850
Hwaseong,2019,02,Sun,435.05193,193314
Hwaseong,2019,02,Mon,378.318769,171060
Hwaseong,2019,02,Tues,294.0539,137561
Hwaseong,2019,02,Wed,319.19907,149555
Hwaseong,2019,02,Thu,298.8618,143518
Hwaseong,2019,02,Fri,291.64783,140292
Hwaseong,2019,02,Sat,327.64601,150366
Hwaseong,2019,03,Sun,549.213649,258211
Hwaseong,2019,03,Mon,328.946339,160092
Hwaseong,2019,03,Tues,286.051039,144066
Hwaseong,2019,03,Wed,250.89887,128859
Hwaseong,2019,03,Thu,282.78622,144978
Hwaseong,2019,03,Fri,344.61037,175167
Hwaseong,2019,03,Sat,363.162239,175732
Hwaseong,2019,04,Sun,428.77592,207485
Hwaseong,2019,04,Mon,438.589759,219325
Hwaseong,2019,04,Tues,358.006598,188797
Hwaseong,2019,04,Wed,292.28462,155687
Hwaseong,2019,04,Thu,278.9784,148095
Hwaseong,2019,04,Fri,265.10838,142024
Hwaseong,2019,04,Sat,295.40965,148423
Hwaseong,2019,05,Sun,444.21529,218837
Hwaseong,2019,05,Mon,372.489879,189773
Hwaseong,2019,05,Tues,336.941739,180529
Hwaseong,2019,05,Wed,404.330209,218292
Hwaseong,2019,05,Thu,401.774798,218898
Hwaseong,2019,05,Fri,380.711448,208772
Hwaseong,2019,05,Sat,336.33335,172582
Hwaseong,2019,06,Sun,642.948866,324106
Hwaseong,2019,06,Mon,394.18633,208000
Hwaseong,2019,06,Tues,351.08734,195559
Hwaseong,2019,06,Wed,342.986779,194579
Hwaseong,2019,06,Thu,347.373897,194887
Hwaseong,2019,06,Fri,339.09852,190447
Hwaseong,2019,06,Sat,459.868709,241676
Hwaseong,2019,07,Sun,543.917746,278268
Hwaseong,2019,07,Mon,533.798459,289411
Hwaseong,2019,07,Tues,485.941031,275146
Hwaseong,2019,07,Wed,456.889511,261895
Hwaseong,2019,07,Thu,373.587668,214664
Hwaseong,2019,07,Fri,367.048576,208043
Hwaseong,2019,07,Sat,418.147973,221818
Hwaseong,2019,08,Sun,504.337067,274371
Hwaseong,2019,08,Mon,409.739589,231507
Hwaseong,2019,08,Tues,366.613087,215755
Hwaseong,2019,08,Wed,365.323236,217834
Hwaseong,2019,08,Thu,474.2283,278206
Hwaseong,2019,08,Fri,434.499389,256940
Hwaseong,2019,08,Sat,417.265231,237186
Hwaseong,2019,09,Sun,628.458763,344031
Hwaseong,2019,09,Mon,493.153916,282691
Hwaseong,2019,09,Tues,348.720764,208714
Hwaseong,2019,09,Wed,371.468939,221519
