Year,Month,Hour,disQuantity(ton),disCount
2018,02,01,258.75092,88498
2018,02,02,174.668,40270
2018,02,03,175.72403,29227
2018,02,04,303.29427,59252
2018,02,05,719.46322,152997
2018,02,06,1532.709439,374252
2018,02,07,2355.797219,918519
2018,02,08,3018.054578,1419894
2018,02,09,3493.949066,1645127
2018,02,10,3354.287577,1610648
2018,02,11,3113.893919,1466845
2018,02,12,3025.435579,1451620
2018,02,13,3388.146729,1534250
2018,02,14,3234.364248,1462378
2018,02,15,3021.418484,1480835
2018,02,16,3129.795178,1523679
2018,02,17,3321.738353,1590992
2018,02,18,3582.313828,1726321
2018,02,19,3688.254829,1812003
2018,02,20,3378.349656,1651560
2018,02,21,3047.714608,1459941
2018,02,22,2057.266407,958795
2018,02,23,1205.404946,544599
2018,03,00,563.33386,249531
2018,03,01,289.82816,97824
2018,03,02,193.00594,45421
2018,03,03,182.0204,32862
2018,03,04,379.25517,73598
2018,03,05,885.90436,193118
2018,03,06,1976.46327,544723
2018,03,07,2885.20588,1221446
2018,03,08,3372.091757,1746776
2018,03,09,3835.627046,1951529
2018,03,10,3438.544205,1763317
2018,03,11,3118.005168,1566265
2018,03,12,2999.070188,1548507
2018,03,13,3283.108467,1588547
2018,03,14,3111.966287,1516281
2018,03,15,2945.240418,1556974
2018,03,16,3120.089339,1635628
2018,03,17,3319.285349,1712486
2018,03,18,3724.329143,1947000
2018,03,19,4188.706236,2218717
2018,03,20,4025.348645,2109678
2018,03,21,3532.609948,1806470
2018,03,22,2205.117117,1088964
2018,03,23,1235.438858,592448
2018,04,00,563.56543,261738
2018,04,01,287.02722,99857
2018,04,02,187.1919,45658
2018,04,03,160.77213,33337
2018,04,04,337.70005,75809
2018,04,05,945.06364,240390
2018,04,06,2193.896589,714502
2018,04,07,2920.06145,1348127
2018,04,08,3351.066689,1856651
2018,04,09,3743.933647,1990471
2018,04,10,3129.707536,1713866
2018,04,11,2702.355736,1452068
2018,04,12,2579.195616,1399377
2018,04,13,2919.655776,1466304
2018,04,14,2722.967726,1393236
2018,04,15,2637.987878,1481771
2018,04,16,2793.327306,1556398
2018,04,17,2950.228256,1624023
2018,04,18,3330.696436,1862589
2018,04,19,4076.352607,2305827
2018,04,20,4139.267651,2296669
2018,04,21,3584.076857,1929582
2018,04,22,2259.963785,1183943
2018,04,23,1281.684499,647307
2018,05,00,667.973054,320492
2018,05,01,322.564109,121950
2018,05,02,205.45853,54566
2018,05,03,181.04103,39583
2018,05,04,392.41917,92399
2018,05,05,1115.452389,362323
2018,05,06,2527.03338,879081
2018,05,07,3084.69179,1534649
2018,05,08,3585.279489,2075783
2018,05,09,3971.565829,2198971
2018,05,10,3450.539797,1891646
2018,05,11,2945.374094,1607550
2018,05,12,2697.092387,1507202
2018,05,13,2984.754872,1553218
2018,05,14,2830.527327,1477183
2018,05,15,2741.662989,1568416
2018,05,16,2899.440192,1663278
2018,05,17,3080.008945,1758608
2018,05,18,3502.269748,2041839
2018,05,19,4310.631936,2548502
2018,05,20,4733.106374,2714360
2018,05,21,4220.146518,2344227
2018,05,22,2712.842336,1460156
2018,05,23,1542.843936,804304
2018,06,00,801.528365,395922
2018,06,01,386.022599,157762
2018,06,02,243.79057,71136
2018,06,03,201.193689,46485
2018,06,04,402.79213,112912
2018,06,05,1283.53354,464207
2018,06,06,2678.003338,1006077
2018,06,07,3198.483137,1704980
2018,06,08,3830.889755,2313549
2018,06,09,4193.129867,2355203
2018,06,10,3549.658844,1985635
2018,06,11,3019.142736,1675815
2018,06,12,2749.221718,1568928
2018,06,13,3054.25203,1606059
2018,06,14,2876.432677,1514428
2018,06,15,2794.914212,1625877
2018,06,16,3011.183241,1754132
2018,06,17,3229.143921,1877309
2018,06,18,3730.153577,2225173
2018,06,19,4794.983376,2927854
2018,06,20,5480.9399,3233483
2018,06,21,4968.133989,2821266
2018,06,22,3273.740763,1792486
2018,06,23,1915.094786,1024307
2018,07,00,964.536929,486576
2018,07,01,444.70007,182323
2018,07,02,253.589239,77707
2018,07,03,247.30768,57128
2018,07,04,498.2723,141542
2018,07,05,1520.440095,604362
2018,07,06,3157.760358,1310390
2018,07,07,3842.409969,2158308
2018,07,08,4624.47755,2851461
2018,07,09,4836.394007,2790855
2018,07,10,4013.539027,2267378
2018,07,11,3354.859073,1845571
2018,07,12,3034.638818,1705534
2018,07,13,3357.380446,1717573
2018,07,14,3107.381784,1592736
2018,07,15,2915.978214,1687763
2018,07,16,3176.426547,1837189
2018,07,17,3509.791198,2031005
2018,07,18,4199.880338,2515975
2018,07,19,5621.726298,3459881
2018,07,20,6481.500673,3867127
2018,07,21,6004.215634,3450054
2018,07,22,3917.947721,2167342
2018,07,23,2270.992169,1219005
2018,08,00,849.550849,445378
2018,08,01,391.926056,166449
2018,08,02,244.48002,72826
2018,08,03,284.635471,57858
2018,08,04,500.266,142464
2018,08,05,1231.11218,517636
2018,08,06,2792.784602,1245622
2018,08,07,3341.754128,2011016
2018,08,08,4009.336183,2633227
2018,08,09,4188.289994,2593881
2018,08,10,3607.621486,2187696
2018,08,11,2976.800055,1800702
2018,08,12,2675.424173,1684625
2018,08,13,3022.029607,1681607
2018,08,14,2787.89598,1538590
2018,08,15,2616.014402,1611046
2018,08,16,2838.120709,1759343
2018,08,17,3165.201203,1976901
2018,08,18,3851.742268,2493830
2018,08,19,5242.57241,3474030
2018,08,20,5548.347275,3563923
2018,08,21,4795.240752,2982290
2018,08,22,3082.160834,1853612
2018,08,23,1807.546775,1055097
2018,09,00,778.213499,420256
2018,09,01,359.586686,159640
2018,09,02,246.277515,70005
2018,09,03,221.134131,52079
2018,09,04,449.05985,118759
2018,09,05,989.634513,338760
2018,09,06,2460.176762,994051
2018,09,07,3069.310761,1752186
2018,09,08,3653.137515,2340676
2018,09,09,4075.767325,2477582
2018,09,10,3635.501381,2173938
2018,09,11,3118.235715,1868544
2018,09,12,2885.682294,1768592
2018,09,13,3221.161518,1810005
2018,09,14,3072.225021,1740648
2018,09,15,2908.642725,1801062
2018,09,16,3123.125665,1932423
2018,09,17,3366.689874,2090375
2018,09,18,4044.285286,2584877
2018,09,19,5055.971594,3285722
2018,09,20,4975.27951,3174468
2018,09,21,4239.154055,2641883
2018,09,22,2775.811486,1684398
2018,09,23,1710.758252,1004008
2018,10,00,652.254697,348027
2018,10,01,306.247312,132827
2018,10,02,213.836776,59442
2018,10,03,207.61264,45047
2018,10,04,422.532894,106086
2018,10,05,897.709824,290129
2018,10,06,2291.246506,832137
2018,10,07,3197.358985,1677705
2018,10,08,3753.080712,2264424
2018,10,09,4083.147705,2385448
2018,10,10,3527.337499,2035229
2018,10,11,3009.894642,1727171
2018,10,12,2828.368581,1666270
2018,10,13,3189.883031,1741163
2018,10,14,3035.76,1658428
2018,10,15,2920.063061,1756772
2018,10,16,3166.577404,1907241
2018,10,17,3492.487128,2097428
2018,10,18,4029.569135,2461995
2018,10,19,4720.737114,2947075
2018,10,20,4571.714373,2810008
2018,10,21,3997.07766,2398356
2018,10,22,2483.177729,1458597
2018,10,23,1450.384739,831558
2018,11,00,714.123633,323195
2018,11,01,341.993527,125263
2018,11,02,229.259006,56985
2018,11,03,211.951773,42296
2018,11,04,423.2945,96930
2018,11,05,933.393147,264735
2018,11,06,2189.771214,674376
2018,11,07,3276.839096,1511615
2018,11,08,3880.026313,2105421
2018,11,09,4396.042116,2270044
2018,11,10,3928.527136,1976666
2018,11,11,3461.79241,1714204
2018,11,12,3221.024016,1660793
2018,11,13,3668.794466,1736711
2018,11,14,3583.449717,1675399
2018,11,15,3482.300344,1798180
2018,11,16,3802.343243,1954704
2018,11,17,4148.957181,2101808
2018,11,18,4325.090526,2233709
2018,11,19,4906.368126,2604905
2018,11,20,4789.126768,2512673
2018,11,21,4271.63175,2169784
2018,11,22,2774.04602,1364250
2018,11,23,1607.44191,765617
2018,12,00,690.888039,303413
2018,12,01,340.35912,123856
2018,12,02,245.47075,57209
2018,12,03,214.98978,39816
2018,12,04,355.42588,80983
2018,12,05,780.29427,206820
2018,12,06,1853.9699,491668
2018,12,07,2735.674199,1147072
2018,12,08,3497.124229,1778481
2018,12,09,4094.252202,2030601
2018,12,10,3954.691276,1964168
2018,12,11,3571.684805,1782277
2018,12,12,3427.2121,1740850
2018,12,13,3929.601987,1845706
2018,12,14,3802.620085,1788455
2018,12,15,3644.834012,1844791
2018,12,16,3948.842303,1981832
2018,12,17,4230.960752,2089379
2018,12,18,4225.564866,2122394
2018,12,19,4602.766865,2364728
2018,12,20,4374.996642,2228471
2018,12,21,3866.269,1912519
2018,12,22,2496.72597,1206530
2018,12,23,1488.079494,696517
2019,01,00,631.316189,294536
2019,01,01,311.197909,119140
2019,01,02,1312.362044,53829
2019,01,03,1144.187776,37742
2019,01,04,832.678198,77305
2019,01,05,625.02927,196833
2019,01,06,1758.88565,476742
2019,01,07,2550.268918,1081368
2019,01,08,3258.696652,1704629
2019,01,09,3760.240041,1942042
2019,01,10,3520.530026,1851167
2019,01,11,3292.076105,1698497
2019,01,12,3236.379622,1699424
2019,01,13,3763.337133,1819430
2019,01,14,3538.749532,1725400
2019,01,15,3345.644216,1773515
2019,01,16,3574.789425,1868539
2019,01,17,3821.360739,1966759
2019,01,18,4008.170225,2086737
2019,01,19,4435.726922,2363407
2019,01,20,4218.612308,2227308
2019,01,21,3637.449513,1876569
2019,01,22,2285.423131,1153129
2019,01,23,1325.539949,652046
2019,02,00,619.428332,281477
2019,02,01,305.219696,114937
2019,02,02,235.655714,51788
2019,02,03,175.52274,35876
2019,02,04,262.74569,71170
2019,02,05,530.54578,178506
2019,02,06,1562.373779,427188
2019,02,07,2405.043222,1012212
2019,02,08,3097.109897,1579305
2019,02,09,3671.387633,1850631
2019,02,10,3536.038371,1805178
2019,02,11,3322.800063,1669759
2019,02,12,3232.423268,1653393
2019,02,13,3640.144229,1746360
2019,02,14,3465.019599,1664603
2019,02,15,3224.119353,1657552
2019,02,16,3369.565172,1717744
2019,02,17,3576.351181,1805593
2019,02,18,3921.432935,2008572
2019,02,19,4324.843061,2257821
2019,02,20,4005.973167,2075205
2019,02,21,3575.463981,1808528
2019,02,22,2266.056178,1115986
2019,02,23,1375.614456,658898
2019,03,00,578.999979,279620
2019,03,01,280.255725,108533
2019,03,02,204.595032,50022
2019,03,03,154.921467,36152
2019,03,04,272.754595,78903
2019,03,05,585.435744,211482
2019,03,06,1917.563357,586843
2019,03,07,2879.458968,1306722
2019,03,08,3411.95495,1902456
2019,03,09,3921.932662,2118654
2019,03,10,3450.695889,1904390
2019,03,11,3135.543656,1681616
2019,03,12,2985.5333,1663369
2019,03,13,3325.305372,1701199
2019,03,14,3116.130728,1605078
2019,03,15,2926.718549,1630561
2019,03,16,3123.486204,1715766
2019,03,17,3306.242723,1800175
2019,03,18,3745.056196,2070368
2019,03,19,4350.300498,2438746
2019,03,20,4020.397479,2235261
2019,03,21,3732.159571,2017510
2019,03,22,2282.574799,1204999
2019,03,23,1314.410505,673759
2019,04,00,594.842232,292707
2019,04,01,288.388071,112456
2019,04,02,209.184099,50864
2019,04,03,162.259797,37822
2019,04,04,286.877107,87347
2019,04,05,671.867402,264587
2019,04,06,2232.955223,783945
2019,04,07,2990.285605,1482195
2019,04,08,3556.020333,2059316
2019,04,09,3907.142206,2174160
